Transaction Created	Transaction Time Worked	Ticket ID	Queue Name	Ticket Requestor	Ticket Owner	Ticket Subject	Ticket Parents IDs	Ticket Children IDs	Request Type	School	Department/Concentration	Status	Sponsored?	Reason for Lab Access:	Lab Discovery	Audio & Video	Power Adapters	Input Devices	Cables & Adapters	Laptops	Misc	Year	month	Year-month
4/1/19 13:35									Helpdesk Task													2019	04	2019-4
4/1/19 13:36									Helpdesk Task													2019	04	2019-4
4/1/19 20:31									Lab Access	HLS	Public Administration	Graduate Student: Masters	Yes	Research Project;Statistical Programs	Web Search							2019	04	2019-4
4/1/19 20:31									Lab Access	HLS	Public Administration	Graduate Student: Masters	Yes	Research Project;Statistical Programs	Web Search							2019	04	2019-4
4/1/19 20:31									Lab Access	HLS	Public Administration	Graduate Student: Masters	Yes	Research Project;Statistical Programs	Web Search							2019	04	2019-4
4/2/19 14:48									Lab Infrastructure													2019	04	2019-4
4/2/19 14:49									Lab Infrastructure													2019	04	2019-4
4/2/19 14:49									Lab Infrastructure													2019	04	2019-4
4/3/19 19:51									Helpdesk Task													2019	04	2019-4
4/4/19 15:59									Lab Access	HSDM	Other	Graduate Student: Doctorate	Yes	Statistical Programs	Faculty							2019	04	2019-4
4/4/19 17:17									Helpdesk Task													2019	04	2019-4
4/5/19 17:52									Lab Access	GSD	Urban Planning	Graduate Student: Masters	No	GIS Programs	Other							2019	04	2019-4
4/5/19 17:52									Lab Access	GSD	Urban Planning	Graduate Student: Masters	No	GIS Programs	Other							2019	04	2019-4
4/5/19 17:54									Lab Access	GSD	Urban Planning	Graduate Student: Masters	No	GIS Programs	Other							2019	04	2019-4
4/5/19 17:54									Lab Access	GSD	Urban Planning	Graduate Student: Masters	No	GIS Programs	Other							2019	04	2019-4
4/5/19 17:54									Lab Access	GSD	Urban Planning	Graduate Student: Masters	No	GIS Programs	Other							2019	04	2019-4
4/8/19 12:26									Helpdesk Task													2019	04	2019-4
4/8/19 12:26									Helpdesk Task													2019	04	2019-4
4/8/19 15:10									Lab Access	FAS	Political Economy	Graduate Student: Doctorate	No	Printing	Walk In							2019	04	2019-4
4/8/19 15:11									Lab Access	FAS	Political Economy	Graduate Student: Doctorate	No	Printing	Walk In							2019	04	2019-4
4/8/19 15:11									Lab Access	FAS	Political Economy	Graduate Student: Doctorate	No	Printing	Walk In							2019	04	2019-4
