Year	Quarter	Year_Quarter	Desktop	RCE	Dataverse
FY22	Q1	FY22-Q1	525	115	226
FY22	Q2	FY22-Q2	466	122	158
FY22	Q3	FY22-Q3	444	211	225
FY22	Q4	FY22-Q4	396	148	176
FY23	Q1	FY23-Q1	512	116	229
FY23	Q2	FY23-Q2	427	128	164
FY23	Q3	FY23-Q3	429	492	246
FY23	Q4	FY23-Q4	377	435	346
FY24	Q1	FY24-Q1	581	0	298
FY24	Q2	FY24-Q2	384	0	341
FY24	Q3	FY24-Q3	398	0	392
FY24	Q4	FY24-Q4	351	0	404
FY25	Q1	FY25-Q1	444	0	359
FY25	Q2	FY25-Q2	262	0	354
					
					
					
					
	Archive not going to inlcude this data				
FY18	Q1	FY18-Q1	537	302	39
FY18	Q2	FY18-Q2	362	254	52
FY18	Q3	FY18-Q3	465	319	80
FY18	Q4	FY18-Q4	530	432	148
FY19	Q1	FY19-Q1	350	186	89
FY19	Q2	FY19-Q2	435	336	72
FY19	Q3	FY19-Q3	493	312	114
FY19	Q4	FY19-Q4	440	484	227
FY20	Q1	FY20-Q1	573	339	156
FY20	Q2	FY20-Q2	587	303	115
FY20	Q3	FY20-Q3	651	257	128
FY20	Q4	FY20-Q4	410	277	150
FY21	Q1	FY21-Q1	519	235	83
FY21	Q2	FY21-Q2	450	147	120
FY21	Q3	FY21-Q3	401	211	225
FY21	Q4	FY21-Q4	372	148	176
