id	Year	Quarter	Year_Quarter	Desktop	RCE	Dataverse	year_number
4	FY20	Q1	FY20-Q1	573	339	156	20
5	FY20	Q2	FY20-Q2	587	303	115	20
6	FY20	Q3	FY20-Q3	651	257	128	20
7	FY20	Q4	FY20-Q4	410	277	150	20
8	FY21	Q1	FY21-Q1	519	235	83	21
9	FY21	Q2	FY21-Q2	450	147	120	21
10	FY21	Q3	FY21-Q3	401	211	225	21
11	FY21	Q4	FY21-Q4	372	148	176	21
12	FY22	Q1	FY22-Q1	525	115	226	22
13	FY22	Q2	FY22-Q2	466	122	158	22
14	FY22	Q3	FY22-Q3	444	211	225	22
15	FY22	Q4	FY22-Q4	396	148	176	22
16	FY23	Q1	FY23-Q1	512	116	229	23
17	FY23	Q2	FY23-Q2	427	128	164	23
18	FY23	Q3	FY23-Q3	429	492	246	23
19	FY23	Q4	FY23-Q4	377	435	346	23
20	FY24	Q1	FY24-Q1	581	0	298	24
21	FY24	Q2	FY24-Q2	384	0	341	24
