month	count
2018-11	116
2018-12	118
2019-01	120
2019-02	122
2019-03	123
2019-04	128
2019-05	130
2019-06	133
2019-07	134
2019-08	151
2019-09	154
2019-10	157
2019-11	160
2019-12	160
2020-01	164
2020-02	164
2020-03	164
2020-04	168
2020-05	170
2020-06	175
2020-07	181
2020-08	182
2020-09	182
2020-10	186
2020-11	187
2020-12	189
2021-01	192
2021-02	198
2021-03	203
2021-04	204
2021-05	207
2021-06	219
2021-07	209
2021-08	215
2021-09	219
2021-10	221
2021-11	224
2021-12	226
2022-01	230
2022-02	240
2022-03	248
2022-04	247
2022-05	250
2022-06	263
2022-07	261
2022-08	260
2022-09	262
2022-10	265
2022-11	268
2022-12	268
2023-01	272
2023-02	274
2023-03	293
2023-04	296
2023-05	300
2023-06	301
2023-07	304
2023-08	309
2023-09	310
2023-10	313
2023-11	313
2023-12	315
2024-01	316
2024-02	320
2024-03	325
2024-04	325
2024-05	328
2024-06	331
2024-07	334
2024-08	336
2024-09	338
2024-10	342
2024-11	342
