month	count
2018-11	691818
2018-12	695333
2019-01	698461
2019-02	703676
2019-03	708483
2019-04	720838
2019-05	723751
2019-06	725883
2019-07	727809
2019-08	730945
2019-09	735629
2019-10	741277
2019-11	745808
2019-12	750825
2020-01	754849
2020-02	768712
2020-03	785693
2020-04	790070
2020-05	794168
2020-06	798895
2020-07	803639
2020-08	806742
2020-09	810518
2020-10	816020
2020-11	822114
2020-12	826048
2021-01	829245
2021-02	832132
2021-03	838921
2021-04	844148
2021-05	847464
2021-06	850708
2021-07	854797
2021-08	857337
2021-09	863419
2021-10	876890
2021-11	890904
2021-12	898571
2022-01	905654
2022-02	920170
2022-03	931944
2022-04	944534
2022-05	954485
2022-06	962771
2022-07	970986
2022-08	981805
2022-09	991394
2022-10	1002896
2022-11	1015718
2022-12	1023481
2023-01	1028838
2023-02	1040998
2023-03	1073138
2023-04	1084178
2023-05	1092424
2023-06	1099915
2023-07	1104369
2023-08	1110625
2023-09	1122083
2023-10	1134589
2023-11	1148240
2023-12	1155578
2024-01	1163565
2024-02	1174638
2024-03	1185254
2024-04	1194610
2024-05	1202457
2024-06	1211127
2024-07	1211862
