month	count
2018-11	4048
2018-12	4057
2019-01	4077
2019-02	4084
2019-03	4117
2019-04	4159
2019-05	4186
2019-06	4196
2019-07	4209
2019-08	4219
2019-09	4244
2019-10	4292
2019-11	4313
2019-12	4321
2020-01	4336
2020-02	4341
2020-03	4351
2020-04	4374
2020-05	4385
2020-06	4396
2020-07	4413
2020-08	4420
2020-09	4429
2020-10	4448
2020-11	4454
2020-12	4464
2021-01	4484
2021-02	4494
2021-03	4510
2021-04	4520
2021-05	4532
2021-06	4528
2021-07	4537
2021-08	4558
2021-09	4572
2021-10	4614
2021-11	4626
2021-12	4639
2022-01	4664
2022-02	4681
2022-03	4715
2022-04	4734
2022-05	4744
2022-06	4773
2022-07	4857
2022-08	4867
2022-09	4878
2022-10	4889
2022-11	4911
2022-12	4918
2023-01	4923
2023-02	4932
2023-03	4948
2023-04	4975
2023-05	4998
2023-06	5017
2023-07	5032
2023-08	5087
2023-09	5105
2023-10	5143
2023-11	5182
2023-12	5196
2024-01	5202
2024-02	5215
2024-03	5237
2024-04	5249
2024-05	5284
2024-06	5313
2024-07	5340
2024-08	5359
2024-09	5359
