Timestamp	Name of the training workshop	Date of the training workshop	Your Harvard status/appointment	Your primary affiliated school at Harvard	Your Harvard Department/Unit/Center/Program	What best describe your GIS experience (consider all types of software tools)?	How did you find out this program
8/16/2018 14:22:22	Basic Introduction to GIS (fall 2018)	9/7/2018	Post doctoral research associate	Harvard School of Public Health (HSPH)	Epidemiology	Tried some before, don't remember much	From other Harvard people
8/17/2018 14:02:24	Basic Introduction to GIS (fall 2018)	9/7/2018	Graduate student: Masters	FAS other units	Extension School	Tried some before, don't remember much	From other Harvard people
8/17/2018 20:25:25	Basic Introduction to GIS (fall 2018)	9/7/2018	Graduate student: Masters	FAS Division of Continuing Education (DCE)	MA Sustainability	Never used any GIS	From other Harvard people
8/19/2018 6:07:58	Basic Introduction to GIS (fall 2018)	7/9/2018	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Design Studies, ADPD	Never used any GIS	From Internet search
8/20/2018 16:22:13	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master of Design	Used it to do simple tasks occassionally	From CGA website
8/21/2018 11:39:07	Basic Introduction to GIS (fall 2018)	9/7/2018	Research assistant	Harvard Medical School (HMS)	GI/Nutrition	Never used any GIS	From CGA website
8/21/2018 11:40:27	Basic Introduction to GIS (fall 2018)	9/7/2018	Research assistant	Harvard Medical School (HMS)	GI/Nutrition	Never used any GIS	From other Harvard people
8/23/2018 12:21:43	Basic Introduction to GIS (fall 2018)	9/7/2018	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Organismic & Evolutionary Biology	Never used any GIS	Other
8/24/2018 16:46:12	Basic Introduction to GIS (fall 2018)	10/7/2018	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History of Science	Used it to do simple tasks occassionally	From CGA website
8/26/2018 16:12:26	Basic Introduction to GIS (fall 2018)	9/7/2018	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Celtic Languages and Literatures	Used it to do simple tasks occassionally	From other Harvard people
8/28/2018 17:17:11	Basic Introduction to GIS (fall 2018)	9/7/2018	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government	Never used any GIS	From CGA website
