Year	Month	Year_Month	Desktop	RCE	Dataverse
2020	01	2020-Jan	181	127	46
2020	02	2020-Feb	219	73	48
2020	03	2020-Mar	251	57	34
2020	04	2020-Apr	145	62	61
2020	05	2020-May	112	89	45
2020	06	2020-Jun	153	126	44
2020	07	2020-Jul	111	97	20
2020	08	2020-Aug	145	83	42
2020	09	2020-Sep	121	67	55
2020	10	2020-Oct	109	98	52
2020	11	2020-Nov	100	51	39
2020	12	2020-Dec	84	46	31
2021	01	2021-Jan	84	92	60
2021	02	2021-Feb	105	54	39
2021	03	2021-Mar	90	52	46
2021	04	2021-Apr	67	56	53
2021	05	2021-May	70	55	44
2021	06	2021-Jun	81	91	54
2021	07	2021-Jul	101	78	47
2021	08	2021-Aug	146	58	45
2021	09	2021-Sep	278	3	2
2021	10	2021-Oct	206	84	36
2021	11	2021-Nov	161	42	50
2021	12	2021-Dec	99	28	34
2022	01	2022-Jan	116	119	82
2022	02	2022-Feb	130	60	73
2022	03	2022-Mar	198	36	83
2022	04	2022-Apr	144	34	67
2022	05	2022-May	103	53	53
2022	06	2022-Jun	149	65	59
2022	07	2022-Jul	151	44	89
2022	08	2022-Aug	157	37	79
2022	09	2022-Sep	204	35	61
2022	10	2022-Oct	180	52	50
2022	11	2022-Nov	147	60	66
2022	12	2022-Dec	100	16	48
2023	01	2023-Jan	123	160	82
2023	02	2023-Feb	154	162	67
2023	03	2023-Mar	152	170	97
2023	04	2023-Apr	126	207	130
2023	05	2023-May	113	227	102
2023	06	2023-Jun	138	1	114
2023	07	2023-Jul	138	0	112
2023	08	2023-Aug	175	0	110
2023	09	2023-Sep	202	0	76
2023	10	2023-Oct	204	0	112
2023	11	2023-Nov	143	0	110
2023	12	2023-Dec	112	0	98
2024	01	2024-Jan	129	0	133
2024	02	2024-Feb	159	0	153
2024	03	2024-Mar	110	0	125
2024	04	2024-Apr	117	0	114
2024	05	2024-May	106	0	144
2024	06	2024-Jun	128	0	146
2024	07	2024-Jul	135	0	105
2024	08	2024-Aug	141	0	112
2024	09	2024-Sep	168	0	142
2024	10	2024-Oct	111	0	133
2024	11	2024-Nov	94	0	117
2024	12	2024-Dec	57	0	104
2025	01	2025-Jan	107	0	192
2025	02	2025-Feb	111	0	175
2025	03	2025-Mar	119	0	155
2025	04	2025-Apr	116	0	187
2025	05	2025-May	110	0	271
